City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,iskateley,67.6803,53.1512,283.87,92,100,5.98,RU,1689888964
247,margate,51.3813,1.3862,289.65,89,95,0.89,GB,1689889137
248,jaromer,50.3562,15.9214,288.41,78,70,1.39,CZ,1689889621
249,crane,31.3974,-102.3501,311.1,17,100,7.97,US,1689889141
250,coquimbo,-29.9533,-71.3436,287.0,94,75,6.69,CL,1689889427
251,daru,-9.0763,143.2092,298.35,76,95,4.94,PG,1689889621
252,keflavik,64.0049,-22.5624,285.39,87,75,1.54,IS,1689889077
253,thompson,55.7435,-97.8558,300.24,26,40,5.14,CA,1689889109
254,hays,30.0502,-98.0336,313.61,31,10,0.45,US,1689889621
255,portales,34.1862,-103.3344,310.94,18,14,7.76,US,1689889622
256,paraty,-23.2178,-44.7131,291.5,94,100,2.15,BR,1689889622
257,ziniare,12.5822,-1.2983,302.17,46,46,3.53,BF,1689889622
258,aral,40.5156,81.2636,302.38,25,22,4.11,CN,1689889623
259,sur,22.5667,59.5289,305.39,58,100,2.18,OM,1689889623
260,khabarovsk,48.4808,135.0928,299.04,78,0,5.0,RU,1689889623
261,aasiaat,68.7098,-52.8699,277.45,96,98,5.91,GL,1689888776
262,talcahuano,-36.7167,-73.1167,285.97,100,100,8.75,CL,1689889588
263,nadym,65.5333,72.5167,293.11,67,86,3.68,RU,1689889139
264,north bend,43.4065,-124.2243,298.28,68,100,5.66,US,1689889624
265,vernon,50.2581,-119.2691,310.89,17,0,1.54,CA,1689888890
266,novyy urengoy,66.0833,76.6333,292.54,58,59,3.94,RU,1689889624
267,kiunga,-6.1219,141.2906,296.34,90,95,1.55,PG,1689889624
268,klaksvik,62.2266,-6.589,282.66,94,100,8.45,FO,1689889625
269,natal,-5.795,-35.2094,299.27,69,0,4.63,BR,1689889625
270,miguel ahumada,30.6167,-106.5167,313.04,9,88,6.09,MX,1689889625
271,santo antonio do ica,-3.1022,-67.9397,300.56,77,79,1.0,BR,1689889139
272,berezovyy,51.6667,135.7,299.04,53,60,0.43,RU,1689889080
273,kruisfontein,-34.0033,24.7314,279.2,69,2,3.42,ZA,1689889096
274,aksaray,38.3726,34.0254,295.33,29,0,2.57,TR,1689889626
275,pontes e lacerda,-15.2261,-59.3353,300.13,33,0,1.42,BR,1689889626
276,tolanaro,-25.0319,46.9987,293.19,88,40,2.06,MG,1689889133
277,odda,60.0691,6.5457,285.8,95,100,1.14,NO,1689889626
278,baharly,38.4362,57.4316,301.6,22,0,0.77,TM,1689889627
279,tazovsky,67.4667,78.7,289.89,74,67,4.25,RU,1689889089
280,codrington,-38.2667,141.9667,279.76,83,58,2.93,AU,1689889123
281,isfana,39.8386,69.5306,296.46,42,13,1.8,KG,1689889628
282,pianiga,45.4575,12.0281,298.38,82,13,2.72,IT,1689889628
283,tabuk,17.4189,121.4443,296.68,92,65,1.08,PH,1689889628
284,fort leonard wood,37.7057,-92.1572,306.07,67,0,1.54,US,1689889629
285,san felice circeo,41.2372,13.0942,299.29,99,0,2.31,IT,1689889629
286,valdivia,-39.8142,-73.2459,287.2,97,92,2.41,CL,1689889346
287,college,64.8569,-147.8028,293.82,91,100,2.06,US,1689889077
288,revelstoke,50.9832,-118.2023,305.16,23,0,1.03,CA,1689889629
289,holualoa,19.6228,-155.9522,301.97,86,100,5.66,US,1689889172
290,pasuquin,18.3328,120.6177,299.12,100,20,2.57,PH,1689889630
291,nouadhibou,20.931,-17.0347,295.14,88,40,8.23,MR,1689889630
292,charters towers,-20.1,146.2667,289.55,82,21,1.81,AU,1689889630
293,kolonia,50.9333,6.95,292.01,76,0,3.6,DE,1689889146
294,sogndal,61.2283,7.1003,285.36,93,100,2.57,NO,1689889631
295,nanakuli,21.3906,-158.1547,304.12,54,75,5.66,US,1689889631
296,al wajh,26.2455,36.4525,303.12,84,0,2.57,SA,1689889631
297,cabedelo,-6.9811,-34.8339,298.52,73,17,7.26,BR,1689888950
298,castro,-24.7911,-50.0119,284.71,97,47,2.68,BR,1689889632
299,san pedro pochutla,15.7333,-96.4667,306.99,55,10,3.36,MX,1689889632
300,bani walid,31.7566,13.9942,300.44,45,0,2.95,LY,1689889632
